,fmk,fvk,ft0k,ft90k,fc0k,fc90k,E0m,E005,Gm,pm,pk
C16,16,1.8,10,0.50,17,2.2,8000,5400,500,370,310
C24,24,2.5,14,0.50,21,2.5,11000,7400,690,420,350
